localName,label,definition,usage,notes,examples,type,organizedInClass,required,repeatable
TaxonConcept,Taxon Concept,"The underlying meaning, or referential extension, of a scientific name  as  stated by a particular author in a particular publication. It represents the  author's full-blown view of how the name reaches out to observed or  unobserved objects in nature (beyond statements about type specimens). It is  a direct reflection of what has been written, illustrated, and deposited by  a taxonomist, regardless of his or her theoretical orientation (Franz & Peet  2009).",,,,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/tcs/terms/TaxonConcept,,
taxonConceptCategory,Taxon Concept Category,The category of Taxon Concept,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConcept,False,False
taxonName,Taxon Name,The Taxon Name for this Taxonomic Name Usage,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConcept,False,False
accordingTo,According To,"Reference to the source of this concept, which uses the Taxon Name in this sense (i.e. secundum, sensu).",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConcept,False,False
accordingToString,According To String,String representation of accordingTo,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConcept,False,False
parent,Parent,"The direct, most proximate higher-rank parent (in a classification).",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConcept,False,False
synonym,Synonym,Name considered to apply to the same taxon as the accepted name (taxonName),,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConcept,False,True
vernacularName,Vernacular Name,"Common or vernacular name, used as an alternative to the taxonomic name.",,A name is only a vernacular name if it is used as an alternative to another name.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConcept,False,True
characterCircumscription,Character Circumscription,"A set of taxonomic descriptions used to define this concept. May potentially hold descriptions according to the TDWG SDD schema, or any other, format.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConcept,False,?
specimenCircumscription,Specimen Circumscription,A set of specimens that are used to define the concept.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConcept,False,?
TaxonRelationship,Taxon Relationship,Assertion of a relationship between two taxa,,,,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/tcs/terms/TaxonRelationship,,
relationshipType,Relationship type,The type of relationship that is asserted.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonRelationship,True,False
subjectTaxonConcept,Subject Taxon Concept,The subject Taxon Concept in this relationship.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonRelationship,True,False
objectTaxonConcept,Object Taxon Concept,The object or target Taxon Concept in this relationship.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonRelationship,True,False
relationshipAccordingTo,Relationship According To,Reference for the taxon relationship assertion,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonRelationship,True,False
TaxonName,Taxon Name,A name used as a label for a taxon or taxonomic group.,,,,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/tcs/terms/TaxonName,,
taxonNameString,Taxon Name String,"The complete uninomial, binomial or trinomial name without any authority or  year components.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName,True,False
uninomial,Uninomial,Single-word name string for a name of generic or higher rank,"This property should be used for any single word names. These include  family, genus, infrafamilial, and suprafamilial names. Note that this  property should be used for generic names. The genus property should only  be used for names below rank of genus.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName,False,False
taxonNameAuthorship,Taxon Name Authorship,The full code-appropriate authorship string for the Taxon Name.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName,False,False
combinationAuthoship,Combination Authorship,The full code-appropriate authorship string for the Taxon Name.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName,False,False
basionymAuthorship,Basionym Authorship,Authorship of the basionym,Note that the basionym is another name (Taxon Name) and that names cannot be their own basionym. The basionym authorship is always in parentheses in  both botanical and zoological names.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName,False,False
namePublishedIn,Name Published In,Publication where the taxonomic name was first published.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName,False,False
microreference,Microreference,"Specifies any minor reference parts, e.g. page number.",Refers to precise location within a larger work.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName,False,False
nomenclaturalCode,Nomenclatural Code,Nomenclatural code that applies to the group of organisms the taxonomic name  is for.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName,False,False
nomenclaturalStatus,Nomenclatural Status,Status related to the original publication of the name and its conformance to the relevant rules of nomenclature.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName,False,False
basionym,Basionym,Original name on which the present name is based.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName,False,False
replacedName,Replaced Name,Name for which this name is a replacement,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName,False,False
basedOn,Based On,Invalidly published or illegitimate name for which this name is the  validation.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName,False,False
conservedAgainst,Conserved Against,Name(s) against which this name is conserved,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName,False,True
sanctionedBy,Sanctioned By,Reference to the work in which this name was sanctioned.,,"This is a reference to a publication, not a person.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName,False,False
NomenclaturalType,Nomenclatural Type,Element to which `TaxonName` permanently attached,,One or more `NomenclaturalType`s make up the typification of a `TaxonName`.,,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/tcs/terms/NomenclaturalType,,
typifiedName,Typified Name,The `TaxonName` for which this is `NomenclaturalType`,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/NomenclaturalType,False,False
typeOfType,Type of Type,"The kind of type this specimen is e.g. paratype, isotype, holotype etc.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/NomenclaturalType,False,False
typeName,Type Name,The name that is the type.,,"TaxonNames at ranks above species level are typified by the name of a lower taxon. Ultimately, by following the chain of type names, all names resolve  to a type species and so a type specimen.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/NomenclaturalType,False,False
typeSpecimen,Type Specimen,The specimen that is the type.,TaxonNames at ranks of family and below are typified by a specimen. This property is mutually exclusive with typeName.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/NomenclaturalType,False,False
typePublishedIn,Type Published In,Publication where the type was nominated,"This is relevant for `lectotype`, `neotype`, `epitype` and conserved types. For other types of type the publication where the type is nominated is the  publication where the name was published.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/NomenclaturalType,False,False
