id,prefLabel,taxonName,taxonName lookup,accordingTo,accordingTo lookup
1,Campylium sec. Koperski et al. 2000,2,Campylium,1,"Koperski et al., 2000"
2,Amblystegium sec. Koperski et al. 2000,1,Amblystegium,1,"Koperski et al., 2000"
3,Platydictya sec. Koperski et al. 2000,3,Platydictya,1,"Koperski et al., 2000"
4,Leptodictyum sec. Koperski et al. 2000,4,Leptodictyum,1,"Koperski et al., 2000"
5,Conardia sec. Koperski et al. 2000,5,Conardia,1,"Koperski et al., 2000"
6,Campylium sec. Corley et al. 1981,2,Campylium,2,"Corley et al., 1981"
11,Amblystegium sec. Corley et al. 1981,1,Amblystegium,2,"Corley et al., 1981"
20,Platydictya sec. Corley et al. 1981,3,Platydictya,2,"Corley et al., 1981"
24,Amblystegium subg. Leptodictyum sec. Corley et al. 1981,14,Amblystegium subg. Leptodictyum,2,"Corley et al., 1981"
25,Conardia sec. Corley et al. 1981,5,Conardia,2,"Corley et al., 1981"
10,Campylium sec. Frahm & Frey 1992,2,Campylium,3,"Frahm & Frey, 1992"
12,Amblystegium sec. Frahm & Frey 1992,1,Amblystegium,3,"Frahm & Frey, 1992"
13,Hygroamblystegium sec. Frahm & Frey 1992,6,Hygroamblystegium,3,"Frahm & Frey, 1992"
15,Amblystegiella sec. Frahm & Frey 1992,12,Amblystegiella,3,"Frahm & Frey, 1992"
16,Campylium sec. Frahm & Frey 1992,2,Campylium,3,"Frahm & Frey, 1992"
22,Leptodictyum sec. Frahm & Frey 1992,4,Leptodictyum,3,"Frahm & Frey, 1992"
26,Rhynchostegiella sec. Frahm & Frey 1992,15,Rhynchostegiella,3,"Frahm & Frey, 1992"
17,Amblystegium sec. Moenkemeyer 1927,1,Amblystegium,4,"Mönkemeyer, 1927"
8,Chrysohypnum sec. Moenkemeyer 1927,10,Chrysohypnum,4,"Mönkemeyer, 1927"
9,Drepanocladus sec. Moenkemeyer 1927,11,Drepanocladus,4,"Mönkemeyer, 1927"
14,Hygroamblystegium sec. Moenkemeyer 1927,6,Hygroamblystegium,4,"Mönkemeyer, 1927"
21,Amblystegium sect. Serpoleskea sec. Moenkemeyer 1927,13,Amblystegium sect. Serpoleskea,4,"Mönkemeyer, 1927"
23,Amblystegium sect. Leptodictyum sec. Moenkemeyer 1927,14,Amblystegium subg. Leptodictyum,4,"Mönkemeyer, 1927"
7,Campylium sec. Smith 1980,2,Campylium,5,"Smith, 1980"
18,Amblystegium sec. Smith 1980,1,Amblystegium,5,"Smith, 1980"
19,Platydictya sec. Smith 1980,3,Platydictya,5,"Smith, 1980"
