id,relationshipType,subjectTaxonConcept,subjectTaxonConcept lookup,objectTaxonConcept,objectTaxonConcept lookup,relationshipAccordingTo,comment
1,isCongruentWith,1,Campylium sec. Koperski et al. 2000,6,Campylium sec. Corley et al. 1981,1,
2,hasProperSubset,1,Campylium sec. Koperski et al. 2000,7,Campylium sec. Smith 1980,1,"excl. *C. longicuspis (Lindb. & Arnell) Hedenäs (syn. *Amblystegium l. Lindb. & Arnell, *Drepanocladus l. (Lindb. & Arnell) Broth., Pseudoclliergon l. (Lindb. & Arnell) Loeske), da Hedenäs diese Kombination erst 1989 schuf. Es bleibt unklar zu welcher Gattung Smith dieses auf den Britischen Inseln nicht nachgewiesene Taxon stellt."
3,overlaps,1,Campylium sec. Koperski et al. 2000,8,Chrysohypnum sec. Moenkemeyer 1927,1,incl. Amblystegium radicale (Chrysohypnum hygrophyllum); excl. * Campylium longicuspis (Lindb. & Arnell) Hedenäs (Drepanocladus l.).
4,overlaps,1,Campylium sec. Koperski et al. 2000,9,Drepanocladus sec. Moenkemeyer 1927,1,incl. * Campylium longicuspis (Lindb. & Arnell) Hedenäs (Drepanocladus l.)
5,intersects,1,Campylium sec. Koperski et al. 2000,10,Campylium sec. Frahm & Frey 1992,1,"incl. Amblystegium radicale (Campylium r.). Wahrscheinlich excl. *C. longicuspis (Lindb. & Arnell) Hedenäs. Dieses arktische Taxon wird vermutlich nicht in das Gattungskonzept einbezogen, da Hedenäs erst 1989 diese Kombination schuf. Es bleibt unklar zu welcher Gattung Frahm & Frey dieses Taxon stellen."
6,isProperSubsetOf,2,Amblystegium sec. Koperski et al. 2000,11,Amblystegium sec. Corley et al. 1981,1,incl. Leptodictyum riparium (Amblystegium r.)
7,hasProperSubset,2,Amblystegium sec. Koperski et al. 2000,12,Amblystegium sec. Frahm & Frey 1992,1,"excl. Amblystegium confervoides (Amblystegiella c.), A. subtile (Amblystegiella s.), A. fluviatile (Hygroamblystegium f.), A. tenax (Hygroambystegium t.), A. radicale (Campylium r.)"
8,hasProperSubset,2,Amblystegium sec. Koperski et al. 2000,13,Hygroamblystegium sec. Frahm & Frey 1992,1,
9,hasProperSubset,2,Amblystegium sec. Koperski et al. 2000,14,Hygroamblystegium sec. Moenkemeyer 1927,1,
10,overlaps,2,Amblystegium sec. Koperski et al. 2000,15,Amblystegiella sec. Frahm & Frey 1992,1,"incl. Amblystegium confervoides (Amblystegiella c.), Amblystegium subtile (Amblystegiella s.)"
