bibliographicResourceID,orderNumber,agentID,isEditor
https://www.tropicos.org/reference/9022656,1,_:b43,false
https://www.tropicos.org/reference/9022656,2,_:b44,false
https://www.tropicos.org/reference/9022656,3,_:b45,false
https://www.tropicos.org/reference/9022656,4,_:b46,false
https://www.tropicos.org/reference/9004554,1,_:b57,false
https://www.tropicos.org/reference/9004554,2,_:b58,false
https://www.tropicos.org/reference/9004554,3,_:b59,false
https://www.tropicos.org/reference/9004554,4,_:b60,false
https://www.tropicos.org/reference/9004554,5,_:b61,false
https://www.tropicos.org/reference/9010070,1,_:b57,false
https://www.tropicos.org/reference/9010070,2,_:b58,false
https://www.tropicos.org/reference/9011497,1,_:b80,false
https://www.tropicos.org/reference/9011497,2,_:b81,false
https://www.tropicos.org/reference/9007023,1,_:b61,false
https://www.tropicos.org/reference/9021085,1,_:b89,false
