ID,taxonConceptLabel,taxonNameID,accordingToID,taxonRank,parentID
_:2000-Campylium,Campylium sec. Koperski & al. 2000,https://www.tropicos.org/name/35000208,https://tropicos.org/reference/9022656,,
_:2000-Amblystegium,Amblystegium sec. Koperski & al. 2000,https://tropicos.org/name/35000040,https://tropicos.org/reference/9022656,,
_:2000-Platydictya,Platydictya sec. Koperski & al. 2000,https://www.tropicos.org/name/35000970,https://www.tropicos.org/reference/9022656,,
_:2000-Leptodictyum,Leptodictyum sec. Koperski & al. 2000,https://www.tropicos.org/name/35000692,https://www.tropicos.org/reference/9022656,,
_:2000-Conardia,Conardia sec. Koperski & al. 2000,https://www.tropicos.org/name/35000290,https://www.tropicos.org/reference/9022656,,
_:1981-Amblystegium,Amblystegium sec. Corley & al. 1981,https://tropicos.org/name/35000040,https://www.tropicos.org/reference/9004554,,
_:1981-Amblystegium-subg-Leptodictyum,Amblystegium subg. Leptodictyum sec. Corley & al. 1981,https://www.tropicos.org/name/35102656,https://www.tropicos.org/reference/9004554,,
_:1981-Campylium,Campylium sec. Corley & al. 1981,https://www.tropicos.org/name/35000208,https://www.tropicos.org/reference/9004554,,
_:1981-Conardia,Conardia sec. Corley & al. 1981,https://www.tropicos.org/name/35000290,https://www.tropicos.org/reference/9004554,,
_:1981-Platydictya,Platydictya sec. Corley & al. 1981,https://www.tropicos.org/name/35000970,https://www.tropicos.org/reference/9004554,,
_:1992-Amblystegiella,Amblystegiella sec. Frahm & Frey 1992,https://www.tropicos.org/name/35000039,https://www.tropicos.org/reference/9011497,,
_:1992-Amblystegium,Amblystegium sec. Frahm & Frey 1992,https://www.tropicos.org/name/35000040,https://www.tropicos.org/reference/9011497,,
_:1992-Campylium,Campylium sec. Frahm & Frey 1992,https://www.tropicos.org/name/35000208,https://www.tropicos.org/reference/9011497,,
_:1992-Hygroamblystegium,Hygroamblystegium sec. Frahm & Frey 1992,https://www.tropicos.org/name/35000612,https://www.tropicos.org/reference/9011497,,
_:1992-Leptodictyum,Leptodictyum sec. Frahm & Frey 1992,https://www.tropicos.org/name/35000692,https://www.tropicos.org/reference/9011497,,
_:1992-Rhynchostegiella,Rhynchostegiella sec. Frahm & Frey 1992,https://www.tropicos.org/name/35001131,https://www.tropicos.org/reference/9011497,,
_:1980-Amblystegium,Amblystegium sec. Smith 1980,https://www.tropicos.org/name/35000040,https://www.tropicos.org/reference/9007023,,
_:1980-Campylium,Campylium sec. Smith & al. 1980,https://www.tropicos.org/name/35000208,https://www.tropicos.org/reference/9007023,,
_:1980-Platydictya,Platydictya sec. Smith 1980,https://www.tropicos.org/name/35000970,https://www.tropicos.org/reference/9007023,,
_:1927-Amblystegium,Amblystegium sec. Mönkemeyer 1927,https://www.tropicos.org/name/35000040,https://www.tropicos.org/reference/9011497,,
_:1927-Amblystegium-sect-Leptodictyum,Amblystegium sect. Leptodictyum sec. Mönkemeyer 1927,https://www.tropicos.org/name/35102672,https://www.tropicos.org/reference/9021085,,
_:1927-Amblystegium-sect-Serpoleskea,Amblystegium sect. Serpoleskea sec. Mönkemeyer 1927,https://www.tropicos.org/name/35102679,https://www.tropicos.org/reference/9021085,,
_:1927-Chrysohypnum,Chrysohypnum sec. Mönkemeyer 1927,https://www.tropicos.org/name/35000256,https://www.tropicos.org/reference/9011497,,
_:1927-Drepanocladus,Drepanocladus sec. Mönkemeyer 1927,https://www.tropicos.org/name/35000413,https://www.tropicos.org/reference/9021085,,
_:1927-Hygroamblystegium,Hygroamblystegium sec. Mönkemeyer 1927,https://www.tropicos.org/name/35000612,https://www.tropicos.org/reference/9011497,,
