subjectTaxonConceptID,mappingRelation,objectTaxonConceptID,sourceID,creator,created
_:2000-Conardia,isCongruentWith,_:1981-Conardia,https://www.tropicos.org/reference/9022656,,
_:2000-Conardia,isIncludedIn,_:1992-Rhynchostegiella,https://www.tropicos.org/reference/9022656,,
_:2000-Conardia,isIncludedIn,_:1927-Amblystegium,https://www.tropicos.org/reference/9022656,,
_:2000-Conardia,isIncludedIn,_:1980-Amblystegium,https://www.tropicos.org/reference/9022656,,
_:2000-Campylium,isCongruentWith,_:1981-Campylium,https://tropicos.org/reference/9022656,,
_:2000-Campylium,includes,_:1980-Campylium,https://tropicos.org/reference/9022656,,
_:2000-Campylium,partiallyOverlaps,_:1927-Chrysohypnum,https://tropicos.org/reference/9022656,,
_:2000-Campylium,partiallyOverlaps,_:1927-Drepanocladus,https://tropicos.org/reference/9022656,,
_:2000-Campylium,partiallyOverlaps,_:1992-Campylium,https://tropicos.org/reference/9022656,,
_:2000-Amblystegium,isIncludedIn,_:1981-Amblystegium,https://tropicos.org/reference/9022656,,
_:2000-Amblystegium,includes,_:1992-Amblystegium,https://tropicos.org/reference/9022656,,
_:2000-Amblystegium,includes,_:1992-Hygroamblystegium,https://tropicos.org/reference/9022656,,
_:2000-Amblystegium,includes,_:1927-Hygroamblystegium,https://tropicos.org/reference/9022656,,
_:2000-Amblystegium,partiallyOverlaps,_:1992-Amblystegiella,https://tropicos.org/reference/9022656,,
_:2000-Amblystegium,partiallyOverlaps,_:1992-Campylium,https://tropicos.org/reference/9022656,,
_:2000-Amblystegium,partiallyOverlaps,_:1927-Amblystegium,https://tropicos.org/reference/9022656,,
_:2000-Amblystegium,partiallyOverlaps,_:1927-Chrysohypnum,https://tropicos.org/reference/9022656,,
_:2000-Amblystegium,partiallyOverlaps,_:1980-Amblystegium,https://tropicos.org/reference/9022656,,
_:2000-Amblystegium,partiallyOverlaps,_:1980-Platydictya,https://tropicos.org/reference/9022656,,
_:2000-Platydictya,isCongruentWith,_:1981-Platydictya,https://tropicos.org/reference/9022656,,
_:2000-Platydictya,isIncludedIn,_:1992-Amblystegiella,https://tropicos.org/reference/9022656,,
_:2000-Platydictya,isIncludedIn,_:1927-Amblystegium,https://tropicos.org/reference/9022656,,
_:2000-Platydictya,isIncludedIn,_:1927-Amblystegium-sect-Serpoleskea,https://tropicos.org/reference/9022656,,
_:2000-Platydictya,isIncludedIn,_:1980-Platydictya,https://tropicos.org/reference/9022656,,
_:2000-Leptodictyum,isCongruentWith,_:1992-Leptodictyum,https://tropicos.org/reference/9022656,,
_:2000-Leptodictyum,isCongruentWith,_:1927-Amblystegium-sect-Leptodictyum,https://tropicos.org/reference/9022656,,
_:2000-Leptodictyum,isIncludedIn,_:1981-Amblystegium,https://tropicos.org/reference/9022656,,
_:2000-Leptodictyum,isIncludedIn,_:1981-Amblystegium-subg-Leptodictyum,https://tropicos.org/reference/9022656,,
_:2000-Leptodictyum,isIncludedIn,_:1927-Amblystegium,https://tropicos.org/reference/9022656,,
_:2000-Leptodictyum,isIncludedIn,_:1980-Amblystegium,https://tropicos.org/reference/9022656,,
_:2000-Conardia,isCongruentWith,_:1981-Conardia,https://tropicos.org/reference/9022656,,
_:2000-Conardia,isIncludedIn,_:1992-Rhynchostegiella,https://tropicos.org/reference/9022656,,
_:2000-Conardia,isIncludedIn,_:1927-Amblystegium,https://tropicos.org/reference/9022656,,
_:2000-Conardia,isIncludedIn,_:1980-Amblystegium,https://tropicos.org/reference/9022656,,
