subjectTaxonConceptID,mappingRelation,objectTaxonConceptID,remarks,sourceID,creatorID,created
https://avibase.ca/82745BAA,isCongruentWith,_:tc768006,,https://avibase.bsc-eoc.org,,
https://avibase.ca/F558C7F9,isCongruentWith,_:tc624889,,https://avibase.bsc-eoc.org,,
https://avibase.ca/F558C7F9,isCongruentWith,_:tc560153,,https://avibase.bsc-eoc.org,,
https://avibase.ca/F558C7F9,isCongruentWith,_:tc771496,,https://avibase.bsc-eoc.org,,
https://avibase.ca/F558C7F9,isCongruentWith,_:tc137608,,https://avibase.bsc-eoc.org,,
https://avibase.ca/A091D50A,isCongruentWith,_:tc454621,,https://avibase.bsc-eoc.org,,
https://avibase.ca/A091D50A,isCongruentWith,_:tc875162,,https://avibase.bsc-eoc.org,,
https://avibase.ca/A091D50A,isCongruentWith,_:tc293278,,https://avibase.bsc-eoc.org,,
https://avibase.ca/A091D50A,isCongruentWith,_:tc538652,,https://avibase.bsc-eoc.org,,
https://avibase.ca/82745BAA,includes,https://avibase.ca/F558C7F9,,,https://orcid.org/0000-0003-2224-6821,2023-10-21T13:55:00+10
https://avibase.ca/82745BAA,includes,https://avibase.ca/A091D50A,,,https://orcid.org/0000-0003-2224-6821,2023-10-21T13:55:00+10
https://avibase.ca/F558C7F9,isDisjointFrom,https://avibase.ca/A091D50A,,,https://orcid.org/0000-0003-2224-6821,2023-10-21T13:55:00+10
