ID,type,bibo_handle,dcterms_title,dcterms_bibliographicCitation,dcterms_creator,dcterms_date,dcterms_isPartOf,bibo_publisher,bibo_volume,bibo_issue,bibo_pageStart,bibo_pageEnd,bibo_pages,bibo_numPages,bibo_number,bibo_isbn,bibo_isbn10,bibo_isbn13,bibo_issn,bibo_doi
_:br725302,bibo:Journal,,Bulletin du Jardin botanique national de Belgique / Bulletin van de Nationale Plantentuin van België,,,,,,,,,,,,,,,,,
_:br136602,bibo:Issue,,,,,1994,_:br725302,,63,,,,,,,,,,,
https://doi/org/10.2307/3668252,bibo:AcademicArticle,Klazenga et al. 1994,"Begonia sect. Mezierea (Gaud.) Warb., a taxonomic revision","Klazenga, N.; de Wilde, J.J.F.E., Quené, R.J. (1994), Begonia sect. Mezierea (Gaud.) Warb., a taxonomic revision. Bulletin du Jardin botanique national de Belgique / Bulletin van de Nationale Plantentuin van België 63:263-312",_:a264492,1994,_:br136602,,,,,,263-312,,,,,,,10.2307/3668252
_:br368623,bibo:Series,,"Die Pflanzenwelt Afrikas, insbesondere seiner tropischen Gebiete: Grundzüge der Pflanzenverbreitung im Afrika und die Charakterpflanzen Afrikas",,,,,_:a217524,,,,,,,,,,,,
_:br928999,bibo:Book,,,,,1921,_:br368623,,3,2,,,,,,,,,,
_:b45,bibo:BookSection,Engler 1921,Fam. Begoniaceae,"Engler, A. (1921). Fam. Begoniaceae Die Pflanzenwelt Afrikas, insbesondere seiner tropischen Gebiete: Grundzüge der Pflanzenverbreitung im Afrika und die Charakterpflanzen Afrikas. W. Engelmann, Leipzig.",https://www.wikidata.org/wiki/Q60718,1921,_:br928999,,,,,,612-612,,,,,,,
_:br895620,bibo:Series,,Die natürlichen Pflanzenfamilien,,,,,,,,,,,,,,,,,
_:br652932,bibo:Issue,,,,,1894,_:br895620,,3,6a,,,,,,,,,,
_:b8,bibo:BookSection,Warburg 1894,Begoniaceae,"Warburg, O. (1894). Begoniaceae. In: Engler, A. & K. Prantl (ed.), Die natürlichen Pflanzenfamilien 3(6a): 121-150.",https://www.wikidata.org/wiki/Q62822,1894,_:br652932,,,,,,121-150,,,,,,,
_:br265185,bibo:Journal,,Bot. Jarhrb. Syst.,,,,,,,,,,,,,,,,,
_:br319205,bibo:Issue,,,,,1895,_:br265185,,22,,,,,,,,,,,
_:b17,bibo:AcademicArticle,Warburg 1895,Begoniaceae africanae,"Warburg, O (1895). Begoniaceae africanae. Bot. Jahrb. Syst. 22: 32-45.",https://www.wikidata.org/wiki/Q62822,1895,_:br319205,,,,,,32-45,,,,,,,
_:br750300,bibo:Series,,Flore de Madagascar et des Comores,,,,,,,,,,,,,,,,,
_:b20,bibo:Book,Keraudren-Aymonin 1983,Famille 144 – Begoniacées,"Keraudren-Aymoni, M. (1983). Famille 144 – Begoniacées. Flore de Madagascar et des Comores, pp. 7-108.",https://www.wikidata.org/wiki/Q10331852,1983,_:br750300,,,,,,7-108,,,,,,,
_:br983533,bibo:Series,,Die natürlichen Pflanzenfamilien,,,,,,,,,,,,,,,,,
_:br362329,bibo:Issue,,,,,1925,_:br983533,,21,,,,,,,,,,,
_:b10,bibo:BookSection,Irmscher 1925,Begoniaceae,"Irmscher, E. (1925). Begoniaceae. In: Engler, A. & K. Prantl (eds.), Die natürlichen Pflanzenfamilien, ed. 2, 21:121-150.",https://www.wikidata.org/wiki/Q8771887,1925,_:br362329,,,,,,121-150,,,,,,,
