ID,taxonNameID,accordingToID,taxonConceptLabel,taxonRank,parentID,parent
_:1994-begonia-sect-mezierea,_:b5,https://doi/org/10.2307/3668252,Begonia sect. Mezierea sec. Klazenga & al. 1994,,,
_:1894-begonia-sect-mezierea,_:b5,_:b8,Begonia sect. Mezierea sec. Warburg 1894,,,
_:1925-begonia-sect-mezierea,_:b5,_:b10,Begonia sect. Mezierea sec. Irmscher 1925,,,
_:1994-begonia-comorensis,https://ipni.org/n/104440-1,https://doi/org/10.2307/3668252,Begonia comorensis sec. Klazenga & al. 1994,,,_:1994-begonia-sect-mezierea
_:1894-begonia-comorensis,https://ipni.org/n/104440-1,_:b8,Begonia comorensis sec. Warburg 1894,,,
_:1895-begonia-comorensis,https://ipni.org/n/104440-1,_:b17,Begonia comorensis sec. Warburg 1895,,,
_:1925-begonia-comorensis,https://ipni.org/n/104440-1,_:b10,Begonia comorensis sec. Irmscher 1925,,,
_:1983-begonia-comorensis,https://ipni.org/n/104440-1,_:b20,Begonia comorensis sec. Keraudren-Aymonin 1983,,,
_:1994-begonia-humbertii,https://ipni.org/n/901574-1,https://doi/org/10.2307/3668252,Begonia humbertii sec. Klazenga & al. 1994,,,_:1994-begonia-sect-mezierea
_:1983-begonia-humbertii,https://ipni.org/n/901574-1,_:b20,Begonia humbertii sec. Keraudren-Aymonin 1983,,,
_:1994-begonia-meyeri-johannis,https://ipni.org/n/105197-1,https://doi/org/10.2307/3668252,Begonia meyeri-johannis sec. Klazenga & al. 1994,,,_:1994-begonia-sect-mezierea
_:1894-begonia-meyeri-johannis,https://ipni.org/n/105197-1,_:b8,Begonia meyeri-johannis sec. Warburg 1894,,,
_:1895-begonia-meyeri-johannis,https://ipni.org/n/105197-1,_:b17,Begonia meyeri-johannis sec. Warburg 1895,,,
_:1925-begonia-meyeri-johannis,https://ipni.org/n/105197-1,_:b10,Begonia meyeri-johannis sec. Irmscher 1925,,,
_:1994-begonia-oxyloba,https://ipni.org/n/105331-1,https://doi/org/10.2307/3668252,Begonia oxyloba sec. Klazenga & al. 1994,,,_:1994-begonia-sect-mezierea
_:1994-begonia-oxyloba,https://ipni.org/n/105331-1,_:b8,Begonia oxyloba sec. Warburg 1894,,,
_:1895-begonia-oxyloba,https://ipni.org/n/105331-1,_:b17,Begonia oxyloba sec. Warburg 1895,,,
_:1894-begonia-cladocarpa,https://ipni.org/n/104421-1,_:b8,Begonia cladocarpa sec. Warburg 1894,,,
_:1983-begonia-cladocarpa,https://ipni.org/n/104421-1,_:b20,Begonia cladocarpa sec. Keraudren-Aymonin 1983,,,
_:1921-begonia-oxyloba,https://ipni.org/n/105331-1,_:b45,Begonia oxyloba sec. Engler 1921,,,
_:1925-begonia-oxyloba,https://ipni.org/n/105331-1,_:b17,Begonia oxyloba sec. Irmscher 1925,,,
_:1925-begonia-heddei,https://ipni.org/n/104820-1,_:b17,Begonia heddei sec. Irmscher 1925,,,
_:1925-begonia-lehmbachii,https://ipni.org/n/105026-1,_:b17,Begonia lehmbachii sec. Irmscher 1925,,,
_:1925-begonia-conraui,https://ipni.org/n/104451-1,_:b17,Begonia conraui sec. Irmscher 1925,,,
_:1925-begonia-kummerae,https://ipni.org/n/104983-1,_:b17,Begonia kummerae sec. Irmscher 1925,,,
_:1925-begonia-petrophila,https://ipni.org/n/105419-1,_:b17,Begonia petrophila sec. Irmscher 1925,,,
_:1925-begonia-seretii,https://ipni.org/n/105716-1,_:b17,Begonia seretii sec. Irmscher 1925,,,
_:1925-begonia-sassandrensis,https://ipni.org/n/105665-1,_:b17,Begonia sassandrensis sec. Irmscher 1925,,,
_:1994-begonia-salaziensis,https://ipni.org/n/105644-1,https://doi/org/10.2307/3668252,Begonia salaziensis sec. Klazenga & al. 1994,,,_:1994-begonia-sect-mezierea
_:1894-begonia-salaziensis,https://ipni.org/n/105644-1,_:b8,Begonia salaziensis sec. Warburg 1894,,,
_:1925-begonia-salaziensis,https://ipni.org/n/105644-1,_:b17,Begonia salaziensis sec. Irmscher 1925,,,
_:1994-begonia-seychellensis,https://ipni.org/n/105731-1,https://doi/org/10.2307/3668252,Begonia seychellensis sec. Klazenga & al. 1994,,,_:1994-begonia-sect-mezierea
