subjectTaxonConcept,mappingRelation,objectTaxonConcept,source,creator,created
_:1994-begonia-sect-mezierea,intersects,_:tc000001,https://doi/org/10.2307/3668252,,
_:1994-begonia-sect-mezierea,intersects,_:tc000002,https://doi/org/10.2307/3668252,,
_:tc000003,intersects,_:tc000004,https://doi/org/10.2307/3668252,,
_:tc000003,intersects,_:tc000005,https://doi/org/10.2307/3668252,,
_:tc000003,intersects,_:tc000006,https://doi/org/10.2307/3668252,,
_:tc000003,intersects,_:1983-begonia-comorensis,https://doi/org/10.2307/3668252,,
_:tc000007,intersects,_:tc000008,https://doi/org/10.2307/3668252,,
_:tc000009,intersects,_:tc000010,https://doi/org/10.2307/3668252,,
_:tc000009,intersects,_:tc000011,https://doi/org/10.2307/3668252,,
_:tc000009,intersects,_:tc000012,https://doi/org/10.2307/3668252,,
_:tc000013,intersects,_:tc000014,https://doi/org/10.2307/3668252,,
_:tc000013,intersects,_:tc000015,https://doi/org/10.2307/3668252,,
_:tc000013,intersects,_:tc000016,https://doi/org/10.2307/3668252,,
_:tc000013,intersects,_:tc000017,https://doi/org/10.2307/3668252,,
_:tc000013,intersects,_:tc000018,https://doi/org/10.2307/3668252,,
_:tc000013,intersects,_:tc000019,https://doi/org/10.2307/3668252,,
_:tc000013,intersects,_:tc000020,https://doi/org/10.2307/3668252,,
_:tc000013,intersects,_:tc000021,https://doi/org/10.2307/3668252,,
_:tc000013,intersects,_:tc000022,https://doi/org/10.2307/3668252,,
_:tc000013,intersects,_:tc000023,https://doi/org/10.2307/3668252,,
_:tc000013,intersects,_:tc000024,https://doi/org/10.2307/3668252,,
_:tc000013,intersects,_:tc000025,https://doi/org/10.2307/3668252,,
_:tc000013,intersects,_:tc000026,https://doi/org/10.2307/3668252,,
_:tc000027,intersects,_:tc000028,https://doi/org/10.2307/3668252,,
_:tc000027,intersects,_:tc000029,https://doi/org/10.2307/3668252,,
_:tc000030,intersects,_:1983-begonia-comorensis,https://doi/org/10.2307/3668252,,
