ID,nameString,scientificNameAuthorship,namePublishedIn,namePublishedInYear,nomenclaturalCode,nomenclaturalStatus,basionymID,replacedNameID,basedOnID
_:b5,Begonia sect. Mezierea,(Gaudich.) Warb.,Nat. Pflanzenfam. 3 (6A): 139 (1894),,,,https://ipni.org/n/3898-1,,
https://ipni.org/n/3898-1,Mezierea,Gaudich.,"Voy. Bonite, Bot. 3(Atlas): t. 32 (1841)",,,,,,
_:b6,Begonia sect. Aneupteron,A.DC.,Prodr. 15(1): 407 (1864),,,,,,
https://ipni.org/n/77215303-1,Begonia sect. Exalabegonia,Warb.,Gartenflora 49: 2 (1900),,,,,,
https://ipni.org/n/104440-1,Begonia comorensis,Warb.,Bot. Jahrb. Syst. 22(1): 38 (1895),,,,,,
https://ipni.org/n/923040-1,Begonia salaziensis var. comorensis,(Warb.) L.B.Sm. & Wassh.,Phytologia 54(7): 466 (1984),,,,https://ipni.org/n/104440-1,,
https://ipni.org/n/77283357-1,Mezierea salaziensis var. comorensis,A.DC.,Prodr. [A. P. de Candolle] 15(1): 408 (1864),,,,https://ipni.org/n/104440-1,,
https://ipni.org/n/901574-1,Begonia humbertii,Keraudren,Fl. Madagasc. Fam. 144: 100 (1983) (1983),,,,,,
https://ipni.org/n/105197-1,Begonia meyeri-johannis Engl.,Engl.,Abh. Königl. Akad. Wiss. Berlin 1891(2): 305 (1892),,,,,,
https://ipni.org/n/105331-1,Begonia oxyloba,Hook.f.,Fl. Trop. Afr. [Oliver et al.] 2: 578 (1871),,,,,,
https://ipni.org/n/104421-1,Begonia cladocarpa,Baker,J. Bot. 20: 113 (1882),,,,,,
https://ipni.org/n/104820-1,Begonia heddei,Warb.,Gartenflora 49: 1 (1900),,,,,,
https://ipni.org/n/105026-1,Begonia lehmbachii,Warb,Gartenfl. 49:281 (1900),,,,,,
https://ipni.org/n/104451-1,Begonia conraui,Gilg,Bot. Jahrb. Syst. 34(1): 87 (1904),,,,,,
https://ipni.org/n/104983-1,Begonia kummerae,Gilg,Bot. Jahrb. Syst. 34(1): 87 (1904),,,,,,
https://ipni.org/n/105419-1,Begonia petrophila,Gilg,Bot. Jahrb. Syst. 34(1): 86 (1904),,,,,,
https://ipni.org/n/105880-1,Begonia togoensis,Gilg,Bot. Jahrb. Syst. 34(1): 88 (1904),,,,,,
https://ipni.org/n/105716-1,Begonia seretii,De Wild.,"Ann. Mus. Congo Belge, Bot. sér. 5, 2[1]: 59 (1907)",,,,,,
https://ipni.org/n/105665-1,Begonia sassandrensis,A.Chev.,Bull. Soc. Bot. France 58(Mém. 8d): 175 (1912),,,,,,
https://ipni.org/n/105529-1,Begonia pycnocaulis,Irmsch.,Bot. Jahrb. Syst. 81(1-2): 180 (1961),,,,,,
https://ipni.org/n/105644-1,Begonia salaziensis,(Gaudich.) Warb.,Nat. Pflanzenfam. [Engler & Prantl] iii. 6a: 139 (1894),,,,https://ipni.org/n/106227-1,,
https://ipni.org/n/106227-1,Mezierea salaziensis,Gaudich.,"Voy. Bonite, Bot. 3(Atlas): t. 32 (1841)",,,,,,
https://ipni.org/n/104198-1,Begonia aptera,Roxb.,Hort. Bengal. 104; Fl. Ind. iii. 650 (1832),,,illegitimate,,,
https://ipni.org/n/77237080-1,Begonia mascariensis,Baker,Fl. Mauritius 129 (1877),,,,,,
https://ipni.org/n/105731-1,Begonia seychellensis,Hemsl.,J. Bot. 54(Suppl. 2): 15 (1916),,,,,,
