ID,type,bibo_handle,dcterms_title,dcterms_bibliographicCitation,dcterms_creator,dcterms_date,dcterms_isPartOf,bibo_publisher,bibo_volume,bibo_issue,bibo_pageStart,bibo_pageEnd,bibo_pages,bibo_numPages,bibo_number,bibo_isbn,bibo_isbn10,bibo_isbn13,bibo_issn,bibo_doi
_:br847572,bibo:Journal,,Journal of the Adelaide Botanic Garden,,,,,,,,,,,,,,,,,
_:br623677,bibo:Issue,,,,,1982,_:br847572,,5,,,,,,,,,,,
https://www.jstor.org/stable/23873848,bibo:AcademicArticle,,"Taxonomic Studies in Euphrasia L. (scrophulariaceae). a 
        Revised Infrageneric Classification, and a Revision of the Genus in 
        Australia",,_:a1,1982,_:br623677,,,,,,,,,,,,,
https://id.biodiversity.org.au/reference/apni/23028,bibo:Book,,The student's flora of Tasmania,,_:a2,1967,,,,,,,,,,,,,,
_:br951620,bibo:Journal,,Muelleria,,,,,,,,,,,,,,,,,
_:br666813,bibo:Issue,,,,,1967,_:br951620,,1,,,,,,,,,,,
_:ref1,bibo:AcademicArticle,,Systematic notes on the indigenous Australian flora,,_:a3,1967,_:br666813,,,,,,117-163,,,,,,,
_:ref4,bibo:Book,,A Handbook to Plants in Victoria 2. Dicotyledons,,_:a3,1973,,,,,,,,,,,,,,
_:ref5,bibo:Book,,The Endemic Flora of Tasmania,,_:a518189,1967-78,,,,,,,,,,,,,,
_:br032126,bibo:MultiVolumeBook,,Fragmenta Phytographiae Australiae,,,,,,,,,,,,,,,,,
_:br042195,bibo:Book,,,,,1865,_:br032126,,5,,,,,,,,,,,
_:ref6,bibo:Chapter,,Scrophularinae: Euphrasia Brownii,,_:a5,1865,_:br042195,,,,,,88-90,,,,,,,
_:b63,bibo:MultiVolumeBook,,Flora Australiensis,,_:a6,,,,,,,,,,,,,,,
_:ref7,bibo:Book,,,,,1868,_:b63,,4,,,,,,,,,,,
_:ref8,bibo:Book,,Monographiae der Gattung Euphrasia,,_:a7,,,,,,,,,,,,,,,
