ID,type,bibo_handle,dcterms_title,dcterms_bibliographicCitation,dcterms_creator,dcterms_date,dcterms_isPartOf,bibo_publisher,bibo_volume,bibo_issue,bibo_pageStart,bibo_pageEnd,bibo_pages,bibo_numPages,bibo_number,bibo_isbn,bibo_isbn10,bibo_isbn13,bibo_issn,bibo_doi
_:br721449,bibo:Issue,,,,,2012,https://ipni.org/p/812-2,,61,3,,,,,,,,,,
https://doi.org/10.1002/tax.613003,bibo:AcademicArticle,Rothfels et al. 2012,A revised family–level classification for eupolypod II ferns (Polypodiidae: Polypodiales),"Rothfels, C.J.; Sundue, M.E.; Kuo, L.-J.; Larsson, A.; Kato, M.; Schuetpelz, E.; Pryer, K.M. (2012). A revised family–level classification for eupolypod II ferns (Polypodiidae: Polypodiales). Taxon 513-533.",_:a049113,2012,_:br721449,,,,,,513-533,,,,,,,10.1002/tax.613003
https://ipni.org/p/20011462-1,bibo:Journal,,Phytotaxa,,,,,,,,,,,,,,,,1179-3155,
_:br317390,bibo:Issue,,,,,2011,https://ipni.org/p/20011462-1,,,,,,,,,,,,,
https://doi.org/10.11646/phytotaxa.19.1.2,bibo:AcademicArticle,Christenhusz et al. 2011,A linear sequence of extant families and genera of lycophytes and ferns,"Christenhusz, M.J.M.; Zhang, X.-C.; Schneider, H. (2011). A linear sequence of extant families and genera of lycophytes and ferns. Phytotaxa 19: 7-54.",_:a101316,2011,_:br317390,,,,,,7-54,,,,,,,10.11646/phytotaxa.19.1.2
_:br334702,bibo:Issue,,,,,2006,https://ipni.org/p/812-2,,55,3,,,,,,,,,,
https://doi.org/10.2307/25065646,bibo:AcademicArticle,Smith et al. 2006,A classification for extant ferns,"Smith, A.R.; Pryer, K.M.; Schuetpelz, E.; Korall, P.; Schneider, H.; Wolf, P.G. (2006). A classification for extant ferns. Taxon 55: 705-731.",_:a090686,2006,_:br334702,,,,,,705-731,,,,,,,10.2307/25065646
https://ipni.org/p/826-2,bibo:Journal,,Webbia,,,,,,,,,,,,,,,,,
_:br100545,bibo:Issue,,,,,1977,https://ipni.org/p/826-2,,31,2,,,,,,,,,,
https://doi.org/10.1080/00837792.1977.10670077,bibo:AcademicArticle,Pichi Sermolli 1977,Tentamen Pteridophytorum genera in taxonomicum ordinem redigendi,"Pichi Sermolli, R.E.G. (1977). Tentamen Pteridophytorum genera in taxonomicum ordinem redigendi 31: 313-512.",https://ipni.org/a/7667-1,1977,_:br100545,,,,,,313-512,,,,,,,10.1080/00837792.1977.10670077
_:br722699,bibo:Issue,,,,,1970,https://ipni.org/p/812-2,,19,2,,,,,,,,,,
https://doi.org/10.2307/1217958,bibo:AcademicArticle,Nayar 1970,A phylogenetic classification of the homosporous ferns,"Nayar, B.K. (1970). A phylogenetic classification of the homosporous ferns. Taxon 19: 229-236.",https://ipni.org/a/23960-1,1970,_:br722699,,,,,,229-236,,,,,,,10.2307/1217958
https://ipni.org/p/812-2,bibo:Journal,,Taxon,,,,,,,,,,,,,,,,1996-8175,
