ID,taxonNameID,accordingToID,taxonConceptLabel,taxonRank,parentID
_:2012-Eupolyploids,_:b2,https://doi.org/10.1002/tax.613003,Eupolypods sec. Rothfels & al. 2012,,
_:2006-Eupolyploids,_:b2,https://doi.org/10.2307/25065646,Eupolypods sec. Smith & al. 2006,,
_:2012-Eupolyploids-I,_:b5,https://doi.org/10.1002/tax.613003,Eupolypods I sec. Rothfels & al. 2012,,
_:2006-Eupolyploids-I,_:b5,https://doi.org/10.2307/25065646,Eupolypods I sec. Smith & al. 2006,,
_:2012-Eupolyploids-II,_:b8,https://doi.org/10.1002/tax.613003,Eupolypods II sec. Rothfels & al. 2012,,
_:2006-Eupolyploids-II,_:b8,https://doi.org/10.2307/25065646,Eupolypods II sec. Smith & al. 2006,,
_:2012-Onocleaceae,https://ipni.org/n/17446060-1,https://doi.org/10.1002/tax.613003,Onocleaceae sec. Rothfels & al. 2012,,
_:2011-Onocleaceae,https://ipni.org/n/17446060-1,https://doi.org/10.11646/phytotaxa.19.1.2,Onocleaceae sec. Christenhusz & al. 2011,,
_:2006-Onocleaceae,https://ipni.org/n/17446060-1,https://doi.org/10.2307/25065646,Onocleaceae sec. Smith & al. 2006,,
_:1977-Onocleaceae,https://ipni.org/n/17446060-1,https://doi.org/10.1080/00837792.1977.10670077,Onocleaceae sec. Pichi Sermolli 1977,,
_:1947-Onocleaceae,https://ipni.org/n/17436290-1,_:b38,Onocleoideae sec. Holttum 1947,,
_:2012-Thelypteridaceae,https://ipni.org/n/30000455-2,https://doi.org/10.1002/tax.613003,Thelypteridaceae sec. Rothfels & al. 2012,,
_:2011-Thelypteridaceae,https://ipni.org/n/30000455-2,https://doi.org/10.11646/phytotaxa.19.1.2,Thelypteridaceae sec. Christenhusz & al. 2011,,
_:2006-Thelypteridaceae,https://ipni.org/n/30000455-2,https://doi.org/10.2307/25065646,Thelypteridaceae sec. Smith & al. 2006,,
_:1977-Thelypteridaceae,https://ipni.org/n/30000455-2,https://doi.org/10.1080/00837792.1977.10670077,Thelypteridaceae sec. Pichi Sermolli 1977,,
_:1970-Thelypteridaceae,https://ipni.org/n/30000455-2,https://doi.org/10.2307/1217958,Thelypteridaceae sec. Nayar 1970,,
_:1947-Thelypteridaceae,https://ipni.org/n/30000455-2,_:b38,Thelypteridaceae sec. Holttum 1947,,
_:2012-Woodsiaceae,https://ipni.org/n/60456504-2,https://doi.org/10.1002/tax.613003,Woodsiaceae sec. Rothfels & al. 2012,,
_:2011-Woodsiaceae,https://ipni.org/n/60456504-2,https://doi.org/10.11646/phytotaxa.19.1.2,Woodsiaceae sec. Christenhusz & al. 2011,,
_:1977-Woodsiaceae,https://ipni.org/n/60456504-2,https://doi.org/10.1080/00837792.1977.10670077,Woodsiaceae sec. Pichi Sermolli 1977,,
_:2012-Cysteropsidaceae,https://ipni.org/n/20001946-1,https://doi.org/10.1002/tax.613003,Cystopteridaceae sec. Rothfels & al. 2012,,
_:2011-Cystopteridaceae,https://ipni.org/n/20001946-1,https://doi.org/10.11646/phytotaxa.19.1.2,Cystopteridaceae sec. Christenhusz & al. 2011,,
_:2012-Rhachidosoraceae,https://ipni.org/n/77110539-1,https://doi.org/10.1002/tax.613003,Rhachidosoraceae sec. Rothfels & al. 2012,,
_:2011-Rhachidosoraceae,https://ipni.org/n/77110539-1,https://doi.org/10.11646/phytotaxa.19.1.2,Rhachidosoraceae sec. Christnhusz & al. 2011,,
_:2012-Diplaziopsidaceae,https://ipni.org/n/77110538-1,https://doi.org/10.1002/tax.613003,Diplaziopsidaceae sec. Rothfels & al. 2012,,
_:2011-Diplaziopsidaceae,https://ipni.org/n/77110538-1,https://doi.org/10.11646/phytotaxa.19.1.2,Diplaziopsidaceae sec. Christenhusz & al. 2011,,
_:2012-Hemidictyaceae,https://ipni.org/n/77114955-1,https://doi.org/10.1002/tax.613003,Hemidictyaceae sec. Rothfels & al. 2012,,
_:2011-Hemidictyaceae,https://ipni.org/n/77114955-1,https://doi.org/10.11646/phytotaxa.19.1.2,Hemidictyaceae sec. Christenhusz & al. 2011,,
_:2012-Athyriaceae,https://ipni.org/n/30000361-2,https://doi.org/10.1002/tax.613003,Athyriaceae sec. Rothfels & al. 2012,,
_:2012-Aspleniaceae,https://ipni.org/n/30001382-2,https://doi.org/10.1002/tax.613003,Aspleniaceae sec. Rothfels & al. 2012,,
_:2011-Aspleniaceae,https://ipni.org/n/30001382-2,https://doi.org/10.11646/phytotaxa.19.1.2,Aspleniaceae sec. Christenhusz & al. 2011,,
_:2006-Aspleniaceae,https://ipni.org/n/30001382-2,https://doi.org/10.2307/25065646,Aspleniaceae sec. Smith & al. 2006,,
_:1970-Aspleniaceae,https://ipni.org/n/30001382-2,https://doi.org/10.2307/1217958,Aspleniaceae sec. Nayar 1970,,
_:1977-Aspleniaceae,https://ipni.org/n/30001382-2,https://doi.org/10.1080/00837792.1977.10670077,Aspleniaceae sec. Pichi Sermolli 1977,,
_:2012-Blechnaceae,https://ipni.org/n/30002151-2,https://doi.org/10.1002/tax.613003,Blechnaceae sec. Rothfels & al. 2012,,
_:2011-Blechnaceae,https://ipni.org/n/30002151-2,https://doi.org/10.11646/phytotaxa.19.1.2,Blechnaceae sec. Christenhusz & al. 2011,,
_:2006-Blechnaceae,https://ipni.org/n/30000361-2,https://doi.org/10.2307/25065646,Blechnaceae sec. Smith & al. 2006,,
_:1977-Blechnaceae,https://ipni.org/n/30002151-2,https://doi.org/10.1080/00837792.1977.10670077,Blechnaceae sec. Pichi Sermolli,,
_:1970-Blechnaceae,https://ipni.org/n/30002151-2,https://doi.org/10.1002/tax.613003,Blechnaceae sec. Nayar 1970,,
_:2011-Athyriaceae,https://ipni.org/n/30000361-2,https://doi.org/10.11646/phytotaxa.19.1.2,Athyriaceae sec. Christenhusz & al. 2011,,
_:2006-Woodsiaceae,https://ipni.org/n/30000455-2,https://doi.org/10.2307/25065646,Woodsiaceae sec. Smith & al. 2006,,
_:1977-Athyriaceae,https://ipni.org/n/30000361-2,https://doi.org/10.1080/00837792.1977.10670077,Athyriaceae sec. Pichi Sermolli 1977,,
_:1970-Dryopteridaceae,https://ipni.org/n/30014148-2,https://doi.org/10.2307/1217958,Dryopteridaceae sec. Nayar 1970,,
_:1947-Dennstaedtiaceae,https://ipni.org/n/17434830-1,_:b38,Dennstaedtiaceae sec. Holttum 1947,,
