subjectTaxonConcept,mappingRelation,objectTaxonConcept,source,creator,created
_:tc000001,isCongruentWith,_:tc000002,https://doi.org/10.1002/tax.613003,,
_:tc000003,isCongruentWith,_:tc000004,https://doi.org/10.1002/tax.613003,,
_:tc000005,isCongruentWith,_:tc000006,https://doi.org/10.1002/tax.613003,,
_:tc000007,isCongruentWith,_:tc000008,https://doi.org/10.1002/tax.613003,,
_:tc000007,isCongruentWith,_:tc000009,https://doi.org/10.1002/tax.613003,,
_:tc000007,isCongruentWith,_:tc000010,https://doi.org/10.1002/tax.613003,,
_:tc000007,isCongruentWith,_:tc000011,https://doi.org/10.1002/tax.613003,,
_:tc000012,isCongruentWith,_:tc000013,https://doi.org/10.1002/tax.613003,,
_:tc000012,isCongruentWith,_:tc000014,https://doi.org/10.1002/tax.613003,,
_:tc000012,isCongruentWith,_:tc000015,https://doi.org/10.1002/tax.613003,,
_:tc000012,isCongruentWith,_:tc000016,https://doi.org/10.1002/tax.613003,,
_:tc000012,isCongruentWith,_:tc000017,https://doi.org/10.1002/tax.613003,,
_:tc000018,isCongruentWith,_:tc000019,https://doi.org/10.1002/tax.613003,,
_:tc000018,isCongruentWith,_:tc000020,https://doi.org/10.1002/tax.613003,,
_:tc000018,isIncludedIn,_:2006-Woodsiaceae,https://doi.org/10.1002/tax.613003,,
_:tc000018,isIncludedIn,_:1947-Dennstaedtiaceae,https://doi.org/10.1002/tax.613003,,
_:tc000018,isIncludedIn,_:1970-Dryopteridaceae,https://doi.org/10.1002/tax.613003,,
_:tc000021,isCongruentWith,_:tc000022,https://doi.org/10.1002/tax.613003,,
_:tc000021,isIncludedIn,_:tc000023,https://doi.org/10.1002/tax.613003,,
_:tc000021,isIncludedIn,_:2006-Woodsiaceae,https://doi.org/10.1002/tax.613003,,
_:tc000021,isIncludedIn,_:1977-Athyriaceae,https://doi.org/10.1002/tax.613003,,
_:tc000021,isIncludedIn,_:1947-Dennstaedtiaceae,https://doi.org/10.1002/tax.613003,,
_:tc000024,isCongruentWith,_:tc000025,https://doi.org/10.1002/tax.613003,,
_:tc000024,isIncludedIn,_:2006-Woodsiaceae,https://doi.org/10.1002/tax.613003,,
_:tc000024,isIncludedIn,_:1977-Athyriaceae,https://doi.org/10.1002/tax.613003,,
_:tc000024,isIncludedIn,_:1947-Dennstaedtiaceae,https://doi.org/10.1002/tax.613003,,
_:tc000026,includes,_:tc000027,https://doi.org/10.1002/tax.613003,,
_:tc000026,isIncludedIn,_:2006-Woodsiaceae,https://doi.org/10.1002/tax.613003,,
_:tc000026,isIncludedIn,_:1977-Athyriaceae,https://doi.org/10.1002/tax.613003,,
_:tc000026,isIncludedIn,_:1970-Dryopteridaceae,https://doi.org/10.1002/tax.613003,,
_:tc000026,isIncludedIn,_:1947-Dennstaedtiaceae,https://doi.org/10.1002/tax.613003,,
_:tc000026,partiallyOverlaps,_:2011-Athyriaceae,https://doi.org/10.1002/tax.613003,,
_:tc000028,isCongruentWith,_:tc000029,https://doi.org/10.1002/tax.613003,,
_:tc000028,isIncludedIn,_:2006-Woodsiaceae,https://doi.org/10.1002/tax.613003,,
_:tc000028,isIncludedIn,_:1977-Athyriaceae,https://doi.org/10.1002/tax.613003,,
_:tc000028,isIncludedIn,_:1970-Dryopteridaceae,https://doi.org/10.1002/tax.613003,,
_:tc000028,isIncludedIn,_:1947-Dennstaedtiaceae,https://doi.org/10.1002/tax.613003,,
_:tc000030,isIncludedIn,_:2011-Athyriaceae,https://doi.org/10.1002/tax.613003,,
_:tc000030,isIncludedIn,_:2006-Woodsiaceae,https://doi.org/10.1002/tax.613003,,
_:tc000030,isIncludedIn,_:1970-Dryopteridaceae,https://doi.org/10.1002/tax.613003,,
_:tc000030,isIncludedIn,_:1947-Dennstaedtiaceae,https://doi.org/10.1002/tax.613003,,
_:tc000031,isCongruentWith,_:tc000032,https://doi.org/10.1002/tax.613003,,
_:tc000031,isCongruentWith,_:tc000033,https://doi.org/10.1002/tax.613003,,
_:tc000031,isCongruentWith,_:tc000034,https://doi.org/10.1002/tax.613003,,
_:tc000031,isCongruentWith,_:tc000035,https://doi.org/10.1002/tax.613003,,
_:tc000031,isIncludedIn,_:1947-Dennstaedtiaceae,https://doi.org/10.1002/tax.613003,,
_:tc000036,isCongruentWith,_:tc000037,https://doi.org/10.1002/tax.613003,,
_:tc000036,isCongruentWith,_:tc000038,https://doi.org/10.1002/tax.613003,,
_:tc000036,isCongruentWith,_:tc000039,https://doi.org/10.1002/tax.613003,,
_:tc000036,isCongruentWith,_:tc000040,https://doi.org/10.1002/tax.613003,,
_:tc000036,isIncludedIn,_:1947-Dennstaedtiaceae,https://doi.org/10.1002/tax.613003,,
