ID	alternativeID	scientificName	authorship	publishedInYear	rank
tn-1	https://zoobank.org/NomenclaturalActs/29a6803b-c1d8-4460-96c7-cc006095413f	Giraffa	Brisson	1762	genus
tn-2	https://zoobank.org/NomenclaturalActs/3ac03875-1c25-49a5-96c5-981b87cfa73a	Giraffa camelopardalis reticulata	de Winton	1899	subspecies
tn-3		Giraffa reticulata			species
tn-4	https://zoobank.org/NomenclaturalActs/ca84d710-341e-46af-be74-f49f84c8a53c	Cervus camelopardalis	Linn.	1758	species
tn-5		Giraffa camelopardalis			species
tn-6		Giraffa camelopardalis camelopardalis			subspecies
tn-7	https://zoobank.org/NomenclaturalActs/6b9469dc-6f06-4fba-911b-c08c2667278f	Camelopardalis antiquorum	Swainson	1835	species
tn-8	https://zoobank.org/NomenclaturalActs/e6851c80-2e77-4a51-bbbc-7179249e9d5c	Camelopardalis aethiopica	Ogilby	1837	species
tn-9		Giraffa antiquorum			species
tn-10		Giraffa camelopardalis antiquorum			subspecies
tn-11	https://zoobank.org/NomenclaturalActs/9cba7e21-4f14-4354-b559-36b7db538c08	Giraffa camelopardalis cottoni	Lydekker	1904	subspecies
tn-12	https://zoobank.org/NomenclaturalActs/a3492a30-8739-4b4e-8e6f-5c09e2c34315	Giraffa camelopardalis rothschildi	Lydekker	1903	subspecies
tn-13	https://zoobank.org/NomenclaturalActs/fc4e3aca-4e59-4fae-a052-f220b4a5c70b	Giraffa tippelskirchi	Matschie	1898	species
tn-14		Giraffa camelopardalis tippelskirchi			subspecies
tn-15		Giraffa tippelskirchi tippelskirchi			subspecies
tn-16	https://zoobank.org/NomenclaturalActs/aed6605c-7811-4260-9c4c-21b26b946e5d	Giraffa schillingsii	Matschie	1898	species
tn-17	https://zoobank.org/NomenclaturalActs/f4bc8451-d2f8-41be-a900-e61af09734b6	Giraffa hagenbecki	Knottnerus-Meyer	1910	species
tn-18	https://zoobank.org/NomenclaturalActs/38db2575-317c-4f7c-b0d0-5a85250e5f1f	Giraffa camelopardalis congoensis	Lydekker	1903	subspecies
tn-19	https://zoobank.org/NomenclaturalActs/c8aeee34-3551-4227-871c-13f2a52bcf02	Giraffa camelopardalis angolensis	Lydekker	1903	subspecies
tn-20		Giraffa angolensis			species
tn-21		Giraffa giraffa angolensis			subspecies
tn-22	https://zoobank.org/NomenclaturalActs/0477d1d3-3602-4bec-b4a3-11d108886065	Giraffa camelopardalis wardi	Lydekker	1904	subspecies
tn-23		Camelopardalis capensis	Lesson	1842	species
tn-24		Giraffa camelopardalis capensis			subspecies
tn-25	https://zoobank.org/NomenclaturalActs/507a1a9e-dcf8-4c92-a94d-2ad984ad8f46	Camelopardalis senaariensis	Trouessart	1898	species
tn-26	https://zoobank.org/NomenclaturalActs/4967abaa-2035-4237-85e9-3bc7ffa2259b	Giraffa camelopardalis australis	Rhoads	1896	subspecies
tn-27		Giraffa australis			species
tn-28	https://zoobank.org/NomenclaturalActs/a1d014fd-cdbf-4eaf-a979-100186fc2f41	Giraffa camelopardalis peralta	Thomas	1908	subspecies
tn-29		Giraffa peralta			species
tn-30		Giraffa camelopardalis renatae	Krumbiegel	1971	subspecies
tn-31	https://zoobank.org/NomenclaturalActs/154d50db-6186-4760-b298-856af70de7b8	Giraffa camelopardalis thornicrofti	Lydekker	1903	subspecies
tn-32		Giraffa thornicrofti			species
tn-33		Giraffa tippelskirchi thornicrofti			subspecies
tn-34	https://zoobank.org/NomenclaturalActs/d877e595-ff30-4d86-b4bd-39d06e5e2cf3	Camelopardalis giraffa	Schreber	1784	species
tn-35		Giraffa giraffa			species
tn-36		Giraffa giraffa giraffa			subspecies
tn-37	https://zoobank.org/NomenclaturalActs/be7a0080-ff1c-4857-a536-6d0016ccc1e8	Giraffa infumata	Noak	1908	species
