ID,taxonNameID,accordingToID,taxonConceptLabel,taxonRank,parentID,parent
https://www.catalogueoflife.org/data/taxon/3YVTF,https://zoobank.org/NomenclaturalActs/39b2f236-3914-4962-9dcc-f594671654bd,https://doi.org/10.15468/d9u533,Megalorhipida leucodactylus sec. Gielis & Hobern 2020-07-16,species,,https://www.catalogueoflife.org/data/taxon/62ZBY
_:tc279474,_:tn3,https://www.biodiversitylibrary.org/page/38948425,Pterophorus congrualis sec. Walker 1864,,,
_:tc489794,https://zoobank.org/NomenclaturalActs/39b2f236-3914-4962-9dcc-f594671654bd,_:br508984,Pterophorus leucodactylus sec. Gielis & al. 2022,,,
_:tc933642,https://zoobank.org/NomenclaturalActs/39b2f236-3914-4962-9dcc-f594671654bd,https://digitalcommons.unl.edu/insectamundi/1219,Pterophorus leucodactylus sec. Matthews et al. 2019,,,
_:tc281761,https://zoobank.org/NomenclaturalActs/39b2f236-3914-4962-9dcc-f594671654bd,_:br904934,"Pterophorus leucodactylus sec. Ustjuzhanin, Kovtunovich & Streltzov 2022",,,
_:tc920290,_:tn10,_:br081782,Trichoptilus ralumensis sec. Pagenstecher 1900,,,
_:tc467861,_:tn6,_:br441869,Trichoptilus centetes sec. Meyrick 1886,,,
_:tc368865,_:tn9,_:br893714,Trichoptilus ochrodactylus sec. Fish 1881,,,
_:tc375129,_:tn1,_:br298862,Aciptilia hawaiiensis sec. Butler 1881,,,
_:tc816320,_:tn5,https://www.biodiversitylibrary.org/page/13718569,Trichoptilus adelphodes sec. Meyrick 1887,,,
_:tc860616,https://zoobank.org/NomenclaturalActs/39b2f236-3914-4962-9dcc-f594671654bd,https://doi.org/10.1080/09397140.2018.1540159,"Pterophorus leucodactylus sec. Ustjuzhanin et al. 2019,",,,
_:tc817268,_:tn579996,https://doi.org/10.37828/em.2023.62.17,"Pterophorus leucodactylus sec. Kovtunovich, Ustjuzhanin, Popotski & Haverinen 2023",,,
_:tc597053,_:tn2,_:br606621,Megalorhipida palaestinensis sec. Amsel 1935,,,
_:tc760710,https://zoobank.org/NomenclaturalActs/39b2f236-3914-4962-9dcc-f594671654bd,_:br209393,Pterophorus leucodactylus sec. Fabricius 1794,,,
_:tc577156,https://zoobank.org/NomenclaturalActs/39b2f236-3914-4962-9dcc-f594671654bd,https://doi.org/10.11646/zootaxa.3847.4.1,Pterophorus leucodactylus sec. Kovtunovich & al. 2014,,,
_:tc385237,https://zoobank.org/NomenclaturalActs/39b2f236-3914-4962-9dcc-f594671654bd,https://doi.org/10.37828/em.2023.61.4,Pterophorus leucodactylus sec. Ustjuzhanin & Kovtunovich 2023,,,
_:tc144729,_:tn8,_:br549338,Trichoptilus derelictus sec. Meyrick 1926,,,
_:tc883514,https://zoobank.org/NomenclaturalActs/39b2f236-3914-4962-9dcc-f594671654bd,https://doi.org/10.25221/fee.423.2,Pterophorus leucodactylus sec. Ustjuzhanin & al. 2021,,,
_:tc624064,https://zoobank.org/NomenclaturalActs/39b2f236-3914-4962-9dcc-f594671654bd,_:br604716,Pterophorus leucodactylus sec. Ustjuzhanin & Kovtunovich 2017,,,
_:tc429069,https://zoobank.org/NomenclaturalActs/39b2f236-3914-4962-9dcc-f594671654bd,_:br184732,Pterophorus leucodactylus sec. Karsholt & Razowski 1996,,,
_:tc932654,https://zoobank.org/NomenclaturalActs/39b2f236-3914-4962-9dcc-f594671654bd,https://doi.org/10.37828/em.2022.53.6,"Pterophorus leucodactylus sec. Ustjuzhanin, Kovtunovich, Müller, Prozorov & Streltzov 2022",,,
_:tc681464,_:tn4,https://www.biodiversitylibrary.org/page/38948425,Pterophorus defectalis sec. Walker 1864,,,
_:tc362585,_:tn11,https://www.biodiversitylibrary.org/page/38948425,Pterophorus oxydactylus sec. Walker 1864,,,
_:tc746878,_:tn6,_:br805594,Trichoptilus compsochares sec. Meyrick 1886,,,
https://www.catalogueoflife.org/data/taxon/62ZBY,_:tn500179,https://doi.org/10.15468/d9u533,Megalorhipida sec. Gielis & Hobern 2020-07-16,genus,,https://www.catalogueoflife.org/data/taxon/L44
https://www.catalogueoflife.org/data/taxon/L44,_:tn201278,https://doi.org/10.15468/d9u533,Oxyptilini sec. Gielis & Hobern 2020-07-16,tribe,,https://www.catalogueoflife.org/data/taxon/K8N
https://www.catalogueoflife.org/data/taxon/K8N,_:tn192833,https://doi.org/10.15468/d9u533,Pterophorinae sec. Gielis & Hobern 2020-07-16,subfamily,,https://www.catalogueoflife.org/data/taxon/8TLBR
https://www.catalogueoflife.org/data/taxon/8TLBR,_:tn981185,https://doi.org/10.15468/d9u533,Pterophoridae sec. Gielis & Hobern 2020-07-16,family,,https://www.catalogueoflife.org/data/taxon/B6LST
https://www.catalogueoflife.org/data/taxon/B6LST,_:tn902794,https://doi.org/10.15468/d9u533,Pterophoroidea sec. Gielis & Hobern 2020-07-16,superfamily,,https://www.catalogueoflife.org/data/taxon/B6L67
https://www.catalogueoflife.org/data/taxon/B6L67,_:tn696893,https://doi.org/10.48580/dfs6-49xk,Lepidoptera sec. Global Lepidoptera Index 2023-05-10,order,,https://www.catalogueoflife.org/data/taxon/H6
https://www.catalogueoflife.org/data/taxon/H6,_:tn391444,https://doi.org/10.48580/dfs6,Insecta sec. Catalogue of Life,class,,https://www.catalogueoflife.org/data/taxon/RT
https://www.catalogueoflife.org/data/taxon/RT,_:tn263824,https://doi.org/10.48580/dfs6,Arthropoda sec. Catalogue of Life,phylum,,https://www.catalogueoflife.org/data/taxon/N
https://www.catalogueoflife.org/data/taxon/N,_:tn348192,https://doi.org/10.48580/dfs6,Animalia sec. Catalogue of Life,kingdom,,https://www.catalogueoflife.org/data/taxon/5T6MX
https://www.catalogueoflife.org/data/taxon/5T6MX,_:tn237301,https://doi.org/10.48580/dfs6,Biota sec. Catalogue of Life,,,
