typifiedNameID,typeOfType,typeNameID,typeSpecimenID,typePublishedInID,sourceID
_:tn2,,_:tn9,,,_:ref1
https://ipni.org/n/14620-1,,_:tn9,,,_:ref1
_:tn3,,https://ipni.org/n/332817-1,,,_:ref1
https://ipni.org/n/50985479-1,,https://ipni.org/n/333193-1,,,_:ref1
https://ipni.org/n/333307-1,lectotype,,_:ts000001,_:ref1,_:ref1
https://ipni.org/n/333307-1,isolectotype,,_:ts000002,,_:ref1
https://ipni.org/n/333307-1,isolectotype,,_:ts000003,,_:ref1
https://ipni.org/n/333193-1,lectotype,,_:ts000004,,_:ref1
https://ipni.org/n/333062-1,holotype,,_:ts000005,,_:ref1
_:tn4,,,_:ts000006,,_:ref1
https://ipni.org/n/950666-1,holotype,,_:ts000007,,_:ref1
https://ipni.org/n/331902-1,lectotype,,_:ts000008,,_:ref1
_:tn6,,https://ipni.org/n/332960-1,,,_:ref1
https://ipni.org/n/332960-1,lectotype,,_:ts000009,_:ref1,_:ref1
https://ipni.org/n/14860-1,,https://ipni.org/n/307873-2,,,_:ref1
https://ipni.org/n/307873-2,holotype,,_:ts000010,,_:ref1
https://ipni.org/n/307873-2,isotype,,_:ts000011,,_:ref1
https://ipni.org/n/307873-2,isotype,,_:ts000012,,_:ref1
https://ipni.org/n/219524-2,holotype,,_:ts000013,,_:ref1
https://ipni.org/n/219459-2,holotype,,_:ts000014,,_:ref1
https://ipni.org/n/219459-2,isotype,,_:ts000015,,_:ref1
