ID,type,bibo:handle,dcterms:title,dcterms:bibliographicCitation,dcterms:creator,dcterms:date,bibo:publisher,bibo:volume,bibo:issue,bibo:pageStart,bibo:pageEnd,bibo:pages,bibo:numPages,bibo:number,bibo:isbn,bibo:isbn10,bibo:isbn13,bibo:issn,bibo:doi,dcterms:isPartOf
https://tropicos.org/publication/516,bibo:Journal,,Annales Botanici Fennici,,,,,,,,,,,,,,,,,
_:br376229,bibo:Issue,,,,,1983,,,,,,,,,,,,,,https://tropicos.org/publication/516
https://tropicos.org/reference/9002886,bibo:AcademicArticle,Tan & Koponen 1983,"Dicranoloma (Musci, Dicranaceae) in Southeast Asia, with special reference to the Philippine taxa","Tan, B.C. & T. Koponen (1983). Dicranoloma (Musci, Dicranaceae) in Southeast Asia, with special reference to the Philippine taxa. Ann. Bot. Fenn. 20: 1797-2442.",_:a169079,1983,,,,,,,,,,,,,,_:br376229
https://tropicos.org/publication/7628,bibo:MultiVolumeBook,,A Handbook of Malesian Mosses,,,,_:a341160,,,,,,,,,,,,,
https://tropicos.org/reference/9005756,bibo:Book,Eddy 1988,Sphagnales to Dicranales,"Eddy, A. (1988). A Handbook of Malesian Mosses. Volume 1. Sphagnales to Dicranales. British Museum (Natural History), London.",https://www.wikidata.org/wiki/Q21511351,1988,,,,,,,,,,,,,,https://tropicos.org/publication/7628
https://tropicos.org/publication/3087,bibo:Journal,,Willdenowia,,,,,,,,,,,,,,,,,
_:br908553,bibo:Issue,,,,,1989,,,,,,,,,,,,,,https://tropicos.org/publication/3087
https://tropicos.org/reference/9006742,bibo:AcademicArticle,Tan 1989,"The bryophytes of Sabah (North Borneo) with special reference to the BRYOTROP transect of Mount Kinabalu. II. Dicranoloma and Brotherobryum (Dicranaceae, Bryopsida)","Tan, B.C. (1989). The bryophytes of Sabah (North Borneo) with special reference to the BRYOTROP transect of Mount Kinabalu. II. Dicranoloma and Brotherobryum (Dicranaceae, Bryopsida)/ Willdenowia 18: 497-512.",https://www.wikidata.org/wiki/Q21339909,1989,,,,,,,,,,,,,,_:br908553
https://tropicos.org/publication/1636,bibo:Journal,,Acta Botanica Fennica,,,,,,,,,,,,,,,,,
_:br176566,bibo:Issue,,,,,1990,,,,,,,,,,,,,,https://tropicos.org/publication/1636
https://tropicos.org/reference/9007945,bibo:AcademicArticle,Norris & Koponen 1990,"Bryophyte flora of the Huon Peninsula, Papua New Guinea. XXXV. Dicranaceae and Dicnemonaceae (Musci)","Norris, D.H. & T. Koponen (1990). Bryophyte flora of the Huon Peninsula, Papua New Guinea. XXXV. Dicranaceae and Dicnemonaceae (Musci). Acta Bot. Fenn. 139: 1-64.",_:a024065,1990,,,,,,,,,,,,,,_:br176566
https://tropicos.org/publication/680,bibo:Journal,,Journal of the Hattori Botanical Laboratory,,,,,,,,,,,,,,,,,
_:br733142,bibo:Issue,,,,,1999,,,,,,,,,,,,,,https://tropicos.org/publication/680
https://tropicos.org/reference/9020903,bibo:AcademicArticle,Klazenga 1999,"A revision of the Malesian species of Dicranoloma (Dicranaceae, Musci)","Klazenga, N. (1999). A revision of the Malesian species of Dicranoloma (Dicranaceae, Musci). J. Hattori Bot. Lab. 87: 1-130.",https://orcid.org/0000-0003-2224-6821,1999,,,,,,,,,,,,,,_:br733142
